COMMENTS: Created on the 05/12/05
COMMENTS: Axes are: Energy and Angle
COMMENTS: PDFs are: Cut Value and TKR Plane (3x16)
COMMENTS: Parameters are: CAL Last Layer Coefficient(1), Log Normal Parameters(4)
COMMENTS: Log Normal Parameters are: Norm, MPV, Width, Tail
#PDFs: 32 #Parameters: 5
AXES:
2
5.60878 0.937035 34376.7 2252.82 -0.400488 
5.01548 0.957511 31975.3 2297.83 -0.350906 
6.96014 0.952639 36805.9 2852.89 -0.281116 
4.26714 0.890002 53189.1 2665.95 -0.440247 
5.48285 0.911328 57714.7 3459.14 -0.508608 
6.38585 0.895684 59796.6 4034.88 -0.3445 
7.75764 0.909324 64798.3 4800.41 -0.276131 
5.58695 0.940186 54284.1 4459.86 -0.35715 
PDF: Cut Value 0 and TKR Plane 8
1.84619e-09 0.9937 117.771 25.3114 -0.3227 
2.04172e-10 0.993624 121.956 24.4052 -0.370566 
0.00503064 0.986327 125.433 23.1199 -0.390263 
2.57818e-10 0.983587 129.365 22.664 -0.446996 
0.47329 0.957983 133.183 22.4437 -0.467367 
1.84619e-09 0.979105 200.101 29.8535 -0.355915 
3.34495e-10 0.981818 206.248 28.5829 -0.456207 
0.202455 0.969074 208.872 27.4935 -0.414055 
4.14827e-09 0.949585 209.689 26.9887 -0.368969 
0.132631 0.941952 215.018 26.4776 -0.467195 
0.455123 0.977035 370.075 38.5991 -0.367801 
0.523501 0.969522 374.994 37.9426 -0.379223 
3.33314e-09 0.968975 372.395 36.2102 -0.432397 
0.173604 0.962245 374.991 37.0038 -0.396165 
1.00525e-10 0.934897 376.963 36.9974 -0.452872 
0.00595185 0.97465 696.596 55.2277 -0.355052 
0.52476 0.973383 710.782 54.8166 -0.3763 
0.297968 0.967816 705.803 55.4618 -0.395906 
0.467781 0.963263 708.119 55.9224 -0.375132 
0.70567 0.94001 717.966 57.4003 -0.392018 
0.719773 0.962864 796.748 59.5665 -0.319755 
0.352987 0.976581 794.639 59.0371 -0.439213 
0.643338 0.970341 799.623 59.6373 -0.41089 
0.880467 0.951745 806.555 59.5407 -0.359565 
0.880972 0.941712 807.415 62.1344 -0.4026 
0.873354 0.970121 1663.47 92.6159 -0.354519 
0.920646 0.969067 1657.2 98.6977 -0.358135 
0.946171 0.967554 1650.39 105.725 -0.400521 
0.892606 0.97004 1630.13 112.019 -0.373645 
1.13729 0.960621 1655.46 115.691 -0.41289 
1.10914 0.971015 2544.39 129.891 -0.369894 
1.23147 0.977395 2549.62 140.427 -0.436621 
1.30613 0.973345 2522.73 152.044 -0.361257 
1.7449 0.973217 2573.8 168.067 -0.364368 
1.82527 0.969312 2582.21 175.12 -0.405723 
1.16403 0.961903 4276.17 202.387 -0.391722 
